subject,task,task_display,group,value
sub-010,counting,Counting,Visual,0.6106766831824553
sub-010,counting,Counting,Somato-Motor,0.6619177719392745
sub-010,counting,Counting,Dorsal Attention,0.6284613273529688
sub-010,counting,Counting,Salience/Ventral Attention,0.5731968116530332
sub-010,counting,Counting,Limbic,0.4307972049479647
sub-010,counting,Counting,Control,0.4661192790520812
sub-010,counting,Counting,Default,0.5227461029984469
sub-010,j1,J1,Subcortical,0.24396062348716102
sub-010,j1,J1,Visual,0.5509566520540553
sub-010,j1,J1,Somato-Motor,0.5460207585576701
sub-010,j1,J1,Dorsal Attention,0.5534662848035393
sub-010,j1,J1,Salience/Ventral Attention,0.4988048223458598
sub-010,j1,J1,Limbic,0.4183022583855464
sub-010,j1,J1,Control,0.45876543426570887
sub-010,j1,J1,Default,0.41932499216404745
sub-010,j2,J2,Subcortical,0.18117952693173905
sub-010,j2,J2,Visual,0.5346843782475409
sub-010,j2,J2,Somato-Motor,0.5718072429006471
sub-010,j2,J2,Dorsal Attention,0.541846973496387
sub-010,j2,J2,Salience/Ventral Attention,0.46219272926443106
sub-010,j2,J2,Limbic,0.42916039192239064
sub-010,j2,J2,Control,0.27814064451202125
sub-010,j2,J2,Default,0.39373444319804796
sub-010,j3,J3,Subcortical,0.17415764349882837
sub-010,j3,J3,Visual,0.5820442917093333
sub-010,j3,J3,Somato-Motor,0.6226464858326234
sub-010,j3,J3,Dorsal Attention,0.6153674088692438
sub-010,j3,J3,Salience/Ventral Attention,0.5822035567933336
sub-010,j3,J3,Limbic,0.49401193939928606
sub-010,j3,J3,Control,0.39118275952228687
sub-010,j3,J3,Default,0.5290748165127444
sub-010,j4,J4,Subcortical,0.27907853056766835
sub-010,j4,J4,Visual,0.6697573198243768
sub-010,j4,J4,Somato-Motor,0.7004096880492807
sub-010,j4,J4,Dorsal Attention,0.6968723824974782
sub-010,j4,J4,Salience/Ventral Attention,0.6685980913495863
sub-010,j4,J4,Limbic,0.5571576787518954
sub-010,j4,J4,Control,0.42930990200057967
